step_idx,dataloader,h2d,forward,postprocess,full_frame
0,8.184673264622688,2.685760021209717,69.81158447265625,5.1248702220618725,82.58487097918987
1,0.6213816814124584,6.753632068634033,75.19881439208984,1.4416626654565334,85.92406567186117
2,0.2426006831228733,1.7481919527053833,79.13597106933594,2.2563613019883633,83.58124317601323
3,4.102169070392847,5.378848075866699,85.8301773071289,1.2510470114648342,92.87891583517194
4,1.8049199134111404,2.4538559913635254,75.47103881835938,2.1758456714451313,80.7281737215817
5,4.216859117150307,4.460576057434082,72.67894744873047,1.5286817215383053,80.60224587097764
6,0.6119357421994209,2.9725120067596436,42.710750579833984,1.991252414882183,50.23654690012336
7,0.4379800520837307,2.960832118988037,57.94736099243164,2.653071191161871,64.23238571733236
8,4.85524395480752,6.8263678550720215,64.67088317871094,1.9655339419841766,76.03607699275017
9,39.945121854543686,3.0925440788269043,77.66310119628906,1.6535059548914433,82.89979910477996
10,14.736704993993044,1.822432041168213,62.660831451416016,1.9144611433148384,66.79924111813307
11,4.4061350636184216,1.9511679410934448,43.27676773071289,1.5077050775289536,47.168863005936146
12,77.43657566606998,5.142240047454834,73.04204559326172,2.0210440270602703,82.84220425412059
13,0.5066520534455776,5.214079856872559,63.463199615478516,2.0910236053168774,73.33677727729082
14,19.387703854590654,5.964416027069092,95.0116195678711,2.4500670842826366,106.06506327167153
15,0.5863700062036514,6.691616058349609,65.71619415283203,2.9206229373812675,77.91423005983233
16,0.7139872759580612,6.153632164001465,69.21263885498047,2.5136112235486507,80.51513181999326
17,0.5573327653110027,6.590303897857666,74.22537231445312,2.58932588621974,86.01421397179365
18,0.6850520148873329,6.97811222076416,67.22374725341797,2.0933039486408234,78.84243596345186
19,0.4380838945508003,5.203775882720947,41.3251838684082,2.0705177448689938,51.12814903259277
20,0.8115558885037899,2.177504062652588,60.39139175415039,2.737351693212986,65.76772686094046
21,0.6498801521956921,6.849855899810791,59.72217559814453,2.45452206581831,69.6198595687747
22,0.5635996349155903,5.128223896026611,48.83327865600586,2.0203720778226852,58.521755039691925
23,0.49312785267829895,1.9952640533447266,50.31264114379883,1.9793258979916573,54.69308001920581
24,0.5730409175157547,2.3598079681396484,59.387264251708984,2.710422035306692,65.14881085604429
25,141.1410248838365,5.490367889404297,58.87843322753906,1.9034831784665585,67.65655009075999
26,0.476163811981678,4.059552192687988,66.60054779052734,2.5958390906453133,75.79135801643133
27,0.6786887533962727,3.632927894592285,67.30086517333984,2.9465421102941036,74.4201079942286
28,0.5064820870757103,3.1907200813293457,54.04764938354492,1.8510660156607628,59.599924832582474
29,0.5004871636629105,2.217344045639038,40.22800064086914,1.830528024584055,44.74811302497983
30,11.203620117157698,1.9636160135269165,37.64137649536133,1.8990249373018742,42.01742308214307
31,26.068779174238443,2.620863914489746,184.83212280273438,1.9909110851585865,189.99511701986194
32,104.65834802016616,7.086336135864258,101.0087661743164,2.0869378931820393,112.88716876879334
33,0.5338191986083984,5.087552070617676,130.4066619873047,2.6970962062478065,140.75721707195044
34,22.217631340026855,2.593951940536499,39.333473205566406,2.1829712204635143,44.597558211535215
35,1.177994068711996,2.505376100540161,102.16089630126953,6.560563109815121,111.60854389891028
36,31.080187298357487,5.3373122215271,59.92598342895508,1.793325413018465,68.23095679283142
37,0.4809047095477581,2.0148799419403076,173.5899200439453,1.8508685752749443,177.94128181412816
38,0.5289711989462376,3.665760040283203,51.40572738647461,1.1445991694927216,56.559266056865454
39,0.2938518300652504,5.166528224945068,103.35318756103516,2.453093882650137,120.27281103655696
