cell_id,model_variant,precision_mode,variant_name,status,matrix_variant,map_car_r11,kitti_car_3d_easy_r40,kitti_car_3d_moderate_r40,kitti_car_3d_hard_r40,prof_full_frame_mean_ms,energy_forward_mean_ms,energy_total_J,energy_samples_per_J,prof_peak_gpu_memory_mb,prof_peak_gpu_memory_steady_mb,prof_t_rt_mean_ms
M0_FP32,M0,FP32,M0_FP32,runnable,M0_FP32,76.6335,84.7282,76.6335,74.9037,40.32,33.22,300.1,0.1666,292.3,292.3,112.02
M0_AMP,M0,AMP,M0_AMP,runnable,M0_AMP,76.6438,84.7104,76.6438,74.9624,45.12,32.93,266.55,0.1876,182.0,182.0,109.61
M1_FP32,M1,FP32,M1_FP32,runnable,M1_FP32,76.6335,84.7282,76.6335,74.9037,38.84,37.84,342.0,0.1462,2869.3,2869.3,103.62
M1_AMP,M1,AMP,M1_AMP,runnable,M1_AMP,76.6432,84.7329,76.6432,74.9727,41.73,38.58,276.89,0.1806,2678.0,2678.0,113.78
M2_FP32_mem_scatter,M2,FP32,M2_FP32_mem_scatter,runnable,M2_FP32_mem_scatter,76.6335,84.7282,76.6335,74.9037,39.8,30.21,269.52,0.1855,292.3,292.3,110.65
M2_FP32_mem_conv2d,M2,FP32,M2_FP32_mem_conv2d,runnable,M2_FP32_mem_conv2d,76.6335,84.7282,76.6335,74.9037,40.08,34.47,317.88,0.1573,292.9,292.9,104.94
M2_FP32_mem_both,M2,FP32,M2_FP32_mem_both,runnable,M2_FP32_mem_both,76.6335,84.7282,76.6335,74.9037,40.74,41.01,349.15,0.1432,292.9,292.9,108.45
M2_AMP_mem_scatter,M2,AMP,M2_AMP_mem_scatter,runnable,M2_AMP_mem_scatter,76.6438,84.7104,76.6438,74.9624,44.28,32.73,255.58,0.1956,182.0,182.0,113.53
M2_AMP_mem_conv2d,M2,AMP,M2_AMP_mem_conv2d,runnable,M2_AMP_mem_conv2d,76.6426,84.7104,76.6426,74.9624,41.13,37.99,242.64,0.2061,181.2,181.2,106.4
M2_AMP_mem_both,M2,AMP,M2_AMP_mem_both,runnable,M2_AMP_mem_both,76.6426,84.7104,76.6426,74.9624,39.35,33.42,308.02,0.1623,181.2,181.2,100.94
M3_FP32,M3,FP32,M3_FP32,runnable,M3_FP32,76.6474,84.7317,76.6474,74.9172,40.46,19.68,195.25,0.2561,292.1,292.1,51.81
M3_AMP,M3,AMP,M3_AMP,runnable,M3_AMP,76.6566,84.7139,76.6566,74.9745,46.84,22.04,176.67,0.283,182.1,182.1,58.75
M4_FP32,M4,FP32,M4_FP32,runnable,M4_FP32,76.6426,84.6964,76.6426,74.9206,38.69,21.68,209.82,0.2383,2686.0,2686.0,47.13
M4_AMP,M4,AMP,M4_AMP,runnable,M4_AMP,76.6421,84.711,76.6421,74.971,44.96,21.79,169.35,0.2952,182.1,182.1,53.09
